,X,Y
0,85.07036552388821,1
1,79.0380509105678,1
2,86.98725956885718,1
3,73.52054011853838,1
4,95.4462323364466,1
5,76.92108417337639,1
6,89.69911299161045,1
7,59.43347480010768,0
8,76.66641795259466,0
9,79.09903427223203,0
10,70.90950217233498,0
11,68.48459272116509,0
12,83.77264006114707,1
13,88.63179284813233,1
14,91.4609298085318,0
15,64.44920912651916,0
16,84.97504330495087,1
17,88.63591799341854,0
18,81.43018377930397,1
19,75.34075086243816,0
20,94.47527358697222,1
21,80.93839547962223,1
22,71.82647047894316,0
23,89.33127298547485,0
24,71.38679129795425,1
25,69.70130521278664,0
26,88.42463306561555,0
27,77.09148769722373,0
28,56.69451468151085,1
29,87.83735108532947,0
30,87.95747863467315,1
31,88.45125757632513,1
32,72.35678765219966,0
33,93.78861861421103,1
34,73.99507697797105,0
35,65.12809404173686,1
36,94.31571872001061,0
37,78.74882368642561,0
38,81.07213292435077,0
39,82.35502407011788,1
40,81.6548506961411,1
41,68.16434032976467,1
42,79.42508518631767,0
43,75.04594142042566,0
44,85.47889680417562,1
45,82.49476725710217,0
46,89.09977454604348,1
47,75.79113671654432,0
48,81.48540776125203,1
49,72.41207842244779,0
50,82.02668747546701,1
51,97.82152112803944,1
52,78.11346200046465,0
53,69.63661732087301,0
54,78.12377592240172,0
55,75.5558158547059,1
56,88.21667256837908,1
57,79.99558212008358,1
58,92.44356976916424,0
59,66.4191133507811,0
60,76.79460377129834,0
61,85.67442028865885,1
62,78.52303786761058,0
63,67.98185476031186,1
64,86.48538482951186,0
65,66.99414980614314,0
66,88.91943666331582,0
67,86.994032017508,1
68,74.79127742926993,0
69,56.92770603798941,0
70,78.9702628837434,0
71,71.18976669459703,0
72,87.47556049385932,0
73,66.88761934704624,0
74,87.32657435965432,1
75,80.89786884353049,1
76,88.28994082025285,0
77,72.79370676409701,1
78,90.02786864088053,1
79,76.5059122636223,0
80,85.28677264520543,1
81,74.88812383348431,0
82,86.4862180979205,1
83,75.53632044723685,1
84,79.15239914933214,0
85,82.93132256576483,1
86,85.5434583724982,0
87,77.73887995515939,1
88,73.04251212446896,1
89,99.57877567173097,1
90,78.87116512678458,1
91,70.71044207427809,0
92,88.37541919953856,1
93,81.2532082462407,1
94,75.38612881065363,0
95,75.29816259247917,0
96,78.98485276937006,0
97,75.6473756129843,0
98,81.25485454074399,1
99,91.54721510797815,0
100,84.5973583985225,1
101,88.02154711609668,0
102,82.93568872206605,1
103,72.7758180962932,0
104,80.64219178592683,0
105,81.98042512244366,1
106,95.52014031648504,1
107,65.00342827895173,0
108,89.25649718713818,1
109,90.37823470226996,1
110,99.75111429093165,1
111,66.83976439544611,0
112,75.6608451882711,0
113,96.12079607632762,0
114,87.03770432416722,1
115,84.7505270652057,1
116,80.10608433464391,0
117,84.82359556132646,0
118,55.05488876790736,0
119,85.16295038339496,0
120,87.84177847385348,1
121,88.35450023682183,1
122,78.01895239243206,0
123,80.86367521281564,0
124,97.74348492305667,0
125,70.27435223115613,0
126,94.99443561679665,1
127,79.8566430507995,1
128,81.89172914631688,1
129,73.64678920442866,0
130,77.76437344490986,0
131,72.09076918516628,1
132,68.42869638281786,1
133,75.58319218860797,0
134,74.47906726574178,0
135,79.82279446308804,0
136,79.38045697044751,1
137,81.90967434334998,1
138,82.09735837051876,1
139,91.21600289031858,0
140,90.32540751671229,0
141,53.951461739681974,0
142,70.48415989415221,1
143,62.266194794370996,0
144,97.12396492440408,1
145,95.14853532794615,1
146,83.5942351338079,1
147,86.77795309844117,1
148,100.0,0
149,85.93978646764093,1
150,68.17842523699944,0
151,84.54469081247116,1
152,73.76784501781813,0
153,72.29571296245896,1
154,76.70254604748303,1
155,65.06651924563896,0
156,84.10227300252718,0
157,98.46436025371278,0
158,79.80052289266918,0
159,82.07461044565942,1
160,76.90955900205897,0
161,74.67198028778618,1
162,68.26228751462641,0
163,62.423604999590836,1
164,95.28107664278316,1
165,85.61492862437393,1
166,90.2152416961998,1
